"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
▲10,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),"Pitbull, Jennifer Lopez, Claudia Leitte",24,34,5,2,11
RE,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Pitbull, Ne-Yo, Afrojack, Nayer",24,-,2,2,24
NEW,Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",24,-,1,2,24
NEW,Last Friday Night (T.G.I.F.),Katy Perry,24,-,1,2,24
NEW,In the Name of Love,"Martin Garrix, Bebe Rexha",24,-,1,2,24
NEW,SOS,"Avicii, Aloe Blacc",24,-,1,2,24
RE,Starships,Nicki Minaj,24,-,3,2,24
NEW,Die Young,Kesha,24,-,1,2,24
NEW,S&M,Rihanna,24,-,1,2,24
RE,Savage Remix (feat. Beyoncé),"Beyoncé, Megan Thee Stallion",24,-,2,2,24
RE,Kill This Love,BLACKPINK,24,-,5,2,24
NEW,Youngblood,5 Seconds of Summer,24,-,1,2,24
NEW,Story of My Life,One Direction,24,-,1,2,24
NEW,Salt,Ava Max,24,-,1,2,24
RE,Torn,Ava Max,24,-,2,2,24
▼12,X (with KAROL G),"Jonas Brothers, KAROL G",24,12,4,2,7
NEW,2U (feat. Justin Bieber),"David Guetta, Justin Bieber",24,-,1,2,24
▼19,Say So (feat. Nicki Minaj) - Original Version,"Doja Cat, Nicki Minaj",24,5,5,2,5²
RE,Lola Bunny,"Lola Indigo, Don Patricio",24,-,4,2,22
▲10,Boss Bitch,Doja Cat,24,34,5,2,1
RE,I Like It,"Cardi B, Bad Bunny, J Balvin",24,-,3,2,24
RE,death bed (coffee for your head),"Powfu, beabadoobee",24,-,2,2,24
RE,Adore You,Harry Styles,24,-,4,2,4
▼10,Demonios,Hugo Cobo,24,14,4,2,9
NEW,Not Your Barbie Girl,Ava Max,24,-,1,2,24
▲10,Sin Más,Samantha,24,34,5,2,3²
▲10,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",24,34,5,2,9
▲10,Boys Ain't Shit (Estos Chicos No Lo Son Remix) (feat. Becky G),"SAYGRACE, Becky G",24,34,5,2,5
RE,Ojos de Serpiente,DORA,24,-,6,2,2²
NEW,Ni Tu Cara,María Escarmiento,24,-,1,2,24
,,,,,,,
2020-06-22 to 2020-06-28,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
RE,a otro lado,Natalia Lacunza,1,-,3,32,1
NEW,How You Like That,BLACKPINK,2,-,1,27,2
▲7,Perfect,Damien,3,10,2,21,3
▼2,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",4,2,3,16,1
▲10,Enemigos,"Aitana, Reik",5,15,3,10,3
▲43,Say So (feat. Nicki Minaj) - Original Version,"Doja Cat, Nicki Minaj",5,48,4,10,5²
▼6,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",7,1,3,7,1
RE,boys,Natalia Lacunza,7,-,3,7,7
▼3,Dumb,Eva B,7,4,3,7,2
RE,ya te vas,Natalia Lacunza,10,-,3,6,10
NEW,Buena Vida,"Natti Natasha, Daddy Yankee",10,-,1,6,10
▲25,X (with KAROL G),"Jonas Brothers, KAROL G",12,37,3,5,7
▲5,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",12,17,4,5,2
NEW,Love You Like A Love Song,Selena Gomez & The Scene,14,-,1,4,14
▲34,Look so Good,"Damien, África",14,48,2,4,14
RE,Nada Sale Mal,Aitana,14,-,4,4,14
RE,dile,Natalia Lacunza,14,-,3,4,14
▲23,Demonios,Hugo Cobo,14,37,3,4,9
▲23,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofía Reyes, Jason Derulo, De La Ghetto",14,37,5,4,14
▼10,Me Iré,Anaju,14,4,3,4,4
▼2,Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",14,12,2,4,12
▲1,breathin,Ariana Grande,22,23,4,3,22
▲1,Side To Side,"Ariana Grande, Nicki Minaj",22,23,9,3,19
▲11,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",22,33,5,3,22
▼16,Tenia Tanto Que Darte,Nena Daconte,22,6,2,3,6
▲26,Here,Alessia Cara,22,48,4,3,10
▲1,Greedy,Ariana Grande,22,23,3,3,17
▲1,Let Me Love You,"Ariana Grande, Lil Wayne",22,23,4,3,22
▲1,One Last Time,Ariana Grande,22,23,5,3,22
▲1,Problem,"Ariana Grande, Iggy Azalea",22,23,4,3,22
RE,olvídate de mí,Natalia Lacunza,22,-,4,3,17
▲1,The Way,"Ariana Grande, Mac Miller",22,23,3,3,22
▼19,Nunca Estoy,Anaju,22,3,3,3,3
▼26,Let's Twist Again,Eva B,34,8,2,2,8
▲3,Señorita,"Shawn Mendes, Camila Cabello",34,37,5,2,19
▼13,God is a woman,Ariana Grande,34,21,6,2,21
▼17,no tears left to cry,Ariana Grande,34,17,6,2,17
▲14,Young And Beautiful,Lana Del Rey,34,48,4,2,1
▼11,Break Free,"Ariana Grande, Zedd",34,23,3,2,23
▼1,Love Me Harder,"Ariana Grande, The Weeknd",34,33,4,2,17
▲14,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),"Pitbull, Jennifer Lopez, Claudia Leitte",34,48,4,2,11
▼22,7 rings,Ariana Grande,34,12,10,2,12
▼13,"thank u, next",Ariana Grande,34,21,9,2,17
RE,Boss Bitch,Doja Cat,34,-,4,2,1
NEW,How Do You Sleep?,Sam Smith,34,-,1,2,34
RE,Say So,Doja Cat,34,-,5,2,4
▼17,"break up with your girlfriend, i'm bored",Ariana Grande,34,17,8,2,17
RE,algo duele más,"Natalia Lacunza, BRONQUIO",34,-,3,2,30
▼11,boyfriend (with Social House),"Ariana Grande, Social House",34,23,9,2,21
RE,Shameless,Camila Cabello,34,-,6,2,5
RE,Living Proof,Camila Cabello,34,-,3,2,23
RE,Should've Said It,Camila Cabello,34,-,2,2,34
RE,Liar,Camila Cabello,34,-,7,2,3
NEW,Bad Kind of Butterflies,Camila Cabello,34,-,1,2,34
RE,Easy,Camila Cabello,34,-,2,2,29
RE,My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",34,-,2,2,29
RE,Sin Más,Samantha,34,-,4,2,3²
▲3,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",34,37,4,2,9
RE,Boys Ain't Shit (Estos Chicos No Lo Son Remix) (feat. Becky G),"SAYGRACE, Becky G",34,-,4,2,5
▼24,gracias x venir,Ariadna,34,10,2,2,10
,,,,,,,
2020-06-01 to 2020-06-21,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
▲5,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",1,6,2,63,1
▼1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",2,1,2,60,1
▲1,Nunca Estoy,Anaju,3,4,2,59,3
▲8,Me Iré,Anaju,4,12,2,54,4
▼2,Dumb,Eva B,4,2,2,54,2
NEW,Tenia Tanto Que Darte,Nena Daconte,6,-,1,44,6
▲4,8 Maravillas,NIA,7,11,2,36,7
NEW,Let's Twist Again,Eva B,8,-,1,28,8
NEW,R.I.P.,"Anaju, Samantha, NIA",9,-,1,18,9
NEW,Perfect,Damien,10,-,1,12,10
NEW,gracias x venir,Ariadna,10,-,1,12,10
NEW,Just Dance,"Lady Gaga, Colby O'Donis",12,-,1,9,12
▲4,7 rings,Ariana Grande,12,16,9,9,12
NEW,Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",12,-,1,9,12
▼12,Enemigos,"Aitana, Reik",15,3,2,8,3
NEW,Mala Cara,Lola Indigo,15,-,1,8,15
'=,no tears left to cry,Ariana Grande,17,17,5,7,17
RE,I Follow Rivers,Eva B,17,-,6,7,1
▲7,"break up with your girlfriend, i'm bored",Ariana Grande,17,24,7,7,17
▼9,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",17,8,3,7,2
'=,God is a woman,Ariana Grande,21,21,5,6,21
▼4,"thank u, next",Ariana Grande,21,17,8,6,17
▲16,breathin,Ariana Grande,23,39,3,5,23
▲16,Side To Side,"Ariana Grande, Nicki Minaj",23,39,8,5,19
▲1,Break Free,"Ariana Grande, Zedd",23,24,2,5,23
▼6,Greedy,Ariana Grande,23,17,2,5,17
▲1,Let Me Love You,"Ariana Grande, Lil Wayne",23,24,3,5,23
▲7,One Last Time,Ariana Grande,23,30,4,5,23
▲1,Problem,"Ariana Grande, Iggy Azalea",23,24,3,5,23
RE,Lola Bunny,"Lola Indigo, Don Patricio",23,-,3,5,22
▲1,The Way,"Ariana Grande, Mac Miller",23,24,2,5,23
▼2,boyfriend (with Social House),"Ariana Grande, Social House",23,21,8,5,21
▼3,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",33,30,4,4,30
NEW,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",33,-,1,4,33
▼16,Love Me Harder,"Ariana Grande, The Weeknd",33,17,3,4,17
RE,Ya No Quiero Ná,Lola Indigo,33,-,2,4,33
NEW,Bad Romance,Lady Gaga,37,-,1,3,37
RE,Señorita,"Shawn Mendes, Camila Cabello",37,-,4,3,19
NEW,Lush Life,Zara Larsson,37,-,1,3,37
▼30,X (with KAROL G),"Jonas Brothers, KAROL G",37,7,2,3,7
▼28,Demonios,Hugo Cobo,37,9,2,3,9
▲13,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",37,50,2,3,37
NEW,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",37,-,1,3,37
NEW,Push It On Me,Damien,37,-,1,3,37
RE,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofía Reyes, Jason Derulo, De La Ghetto",37,-,4,3,36
▼23,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",37,14,3,3,9
NEW,Chulo,María Escarmiento,37,-,1,3,37
NEW,The Nights,Avicii,48,-,1,2,48
NEW,Dynamite,Taio Cruz,48,-,1,2,48
NEW,Be the One,Dua Lipa,48,-,1,2,48
▼38,Here,Alessia Cara,48,10,3,2,10
▼27,Young And Beautiful,Lana Del Rey,48,21,3,2,1
NEW,Girl On Fire,Alicia Keys,48,-,1,2,48
NEW,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,48,-,1,2,48
NEW,Run The World (Girls),Beyoncé,48,-,1,2,48
NEW,Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson",48,-,1,2,48
NEW,We Are Never Ever Getting Back Together,Taylor Swift,48,-,1,2,48
▼33,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),"Pitbull, Jennifer Lopez, Claudia Leitte",48,15,3,2,11
NEW,PILLOWTALK,ZAYN,48,-,1,2,48
RE,Attention,Charlie Puth,48,-,2,2,27
RE,Teenage Dream,Katy Perry,48,-,2,2,30
RE,Starships,Nicki Minaj,48,-,2,2,30
NEW,IDGAF,Dua Lipa,48,-,1,2,48
NEW,Look so Good,"Damien, África",48,-,1,2,48
▼18,I Am The Best,2NE1,48,30,3,2,11
▼43,Say So (feat. Nicki Minaj) - Original Version,"Doja Cat, Nicki Minaj",48,5,3,2,5
NEW,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),"Shakira, Freshlyground",48,-,1,2,48
RE,Me Quedo,"Aitana, Lola Indigo",48,-,4,2,32
NEW,Feel Special,TWICE,48,-,1,2,48
NEW,One Dance,"Drake, WizKid, Kyla",48,-,1,2,48
NEW,Pretty Girl - Cheat Codes X CADE Remix,"Maggie Lindemann, Cheat Codes, CADE",48,-,1,2,48
NEW,BBoom BBoom,MOMOLAND,48,-,1,2,48
NEW,FANCY,TWICE,48,-,1,2,48
NEW,Lay All Your Love On Me - From 'Mamma Mia!' Original Motion Picture Soundtrack,"Dominic Cooper, Amanda Seyfried",48,-,1,2,48
NEW,"Autoestima (Feat. Lola Indigo, Alizzz) - Remix","Cupido, Lola Indigo, Alizzz",48,-,1,2,48
NEW,La Respuesta,"Becky G, Maluma",48,-,1,2,48
NEW,Volver a Mí,Anne Lukin,48,-,1,2,48
▼4,Ojos de Serpiente,DORA,48,44,5,2,2²
,,,,,,,
2020-05-11 to 2020-05-31,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",1,-,1,99,1
NEW,Dumb,Eva B,2,-,1,94,2
NEW,Enemigos,"Aitana, Reik",3,-,1,86,3
NEW,Nunca Estoy,Anaju,4,-,1,73,4
▲15,Say So (feat. Nicki Minaj) - Original Version,"Doja Cat, Nicki Minaj",5,20,2,45,5
NEW,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",6,-,1,34,6
NEW,X (with KAROL G),"Jonas Brothers, KAROL G",7,-,1,30,7
▼6,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",8,2,2,29,2
NEW,Demonios,Hugo Cobo,9,-,1,24,9
▲13,Here,Alessia Cara,10,23,2,20,10
NEW,8 Maravillas,NIA,11,-,1,19,11
NEW,Me Iré,Anaju,12,-,1,18,12
NEW,everything i wanted,Billie Eilish,13,-,1,16,13
▼5,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",14,9,2,15,9
▼4,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),"Pitbull, Jennifer Lopez, Claudia Leitte",15,11,2,11,11
▲29,7 rings,Ariana Grande,16,45,8,9,16
RE,no tears left to cry,Ariana Grande,17,-,4,8,17
NEW,Greedy,Ariana Grande,17,-,1,8,17
RE,Love Me Harder,"Ariana Grande, The Weeknd",17,-,2,8,17
▲28,"thank u, next",Ariana Grande,17,45,7,8,17
▲24,God is a woman,Ariana Grande,21,45,4,7,21
▼20,Young And Beautiful,Lana Del Rey,21,1,2,7,1
▲2,boyfriend (with Social House),"Ariana Grande, Social House",21,23,7,7,21
NEW,Break Free,"Ariana Grande, Zedd",24,-,1,6,24
RE,Let Me Love You,"Ariana Grande, Lil Wayne",24,-,2,6,24
RE,Problem,"Ariana Grande, Iggy Azalea",24,-,2,6,24
NEW,The Way,"Ariana Grande, Mac Miller",24,-,1,6,24
▲21,"break up with your girlfriend, i'm bored",Ariana Grande,24,45,6,6,24
RE,Havana (feat. Young Thug),"Camila Cabello, Young Thug",24,-,4,6,24
▲15,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",30,45,3,5,30
'=,One Last Time,Ariana Grande,30,30,3,5,30
▼19,I Am The Best,2NE1,30,11,2,5,11
'=,a otro lado,Natalia Lacunza,30,30,2,5,30
'=,algo duele más,"Natalia Lacunza, BRONQUIO",30,30,2,5,30
'=,dile,Natalia Lacunza,30,30,2,5,30
▼3,ya te vas,Natalia Lacunza,30,27,2,5,27
▼27,Sin Más,Samantha,30,3,3,5,3²
'=,boys,Natalia Lacunza,30,30,2,5,30
RE,breathin,Ariana Grande,39,-,2,4,39
RE,Side To Side,"Ariana Grande, Nicki Minaj",39,-,7,4,19
▼9,olvídate de mí,Natalia Lacunza,39,30,3,4,17
▲6,llueve,"Natalia Lacunza, mori",39,45,2,4,39
▼34,Boys Ain't Shit (Estos Chicos No Lo Son Remix) (feat. Becky G),"SAYGRACE, Becky G",39,5,3,4,5
▼17,Into You,Ariana Grande,44,27,7,3,27
▼39,Boss Bitch,Doja Cat,44,5,3,3,1
▼40,Say So,Doja Cat,44,4,4,3,4
RE,No Me Acuerdo,"Thalia, Natti Natasha",44,-,2,3,42
▼34,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",44,10,2,3,10
▼37,Ojos de Serpiente,DORA,44,7,4,3,2²
RE,La Sandunguera,Anaju,50,-,2,2,40
▼37,Blinding Lights,The Weeknd,50,13,4,2,5
RE,Dangerous Woman,Ariana Grande,50,-,2,2,47
▼5,Dance Monkey,Tones And I,50,45,7,2,1
▼20,Mala Fama,Danna Paola,50,30,5,2,4
NEW,Savage Remix (feat. Beyoncé),"Beyoncé, Megan Thee Stallion",50,-,1,2,50
RE,Lola,"Iggy Azalea, Alice Chater",50,-,7,2,2
▼5,4 besos,"Lola Indigo, Rauw Alejandro, Lalo Ebratt",50,45,5,2,2
▼5,Can We Kiss Forever?,"Kina, Adriana Proenza",50,45,5,2,3
▼27,lovely (with Khalid),"Billie Eilish, Khalid",50,23,4,2,3
RE,imagine,Ariana Grande,50,-,3,2,40
RE,needy,Ariana Grande,50,-,2,2,42
RE,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",50,-,8,2,1
RE,Bad To You (with Normani & Nicki Minaj),"Ariana Grande, Normani, Nicki Minaj",50,-,7,2,1
NEW,Intentions (feat. Quavo),"Justin Bieber, Quavo",50,-,1,2,50
NEW,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",50,-,1,2,50
NEW,No Excuses,Meghan Trainor,50,-,1,2,50
RE,Battito d'amore,"Valentina Ponzone, Claudia D'Ulisse",50,-,2,2,42
▼34,Castigo,María Escarmiento,50,16,4,2,1
NEW,UNO,Little Big,50,-,1,2,50
NEW,Man Down,Anaju,50,-,1,2,50
NEW,Good As Hell (feat. Ariana Grande) - Remix,"Lizzo, Ariana Grande",50,-,1,2,50
▼33,Vicio,"Gregory Palencia, Aron Piper",50,17,4,2,6
,,,,,,,
2020-04-27 to 2020-05-10,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Young And Beautiful,Lana Del Rey,1,-,1,39,1
NEW,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",2,-,1,36,2
'=,Sin Más,Samantha,3,3,2,31,3²
▲7,Say So,Doja Cat,4,11,3,25,4
▼4,Boss Bitch,Doja Cat,5,1,2,23,1
▲10,Boys Ain't Shit (Estos Chicos No Lo Son Remix) (feat. Becky G),"SAYGRACE, Becky G",5,15,2,23,5
▼5,Ojos de Serpiente,DORA,7,2,3,21,2²
▼4,Adore You,Harry Styles,8,4,3,17,4
NEW,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",9,-,1,16,9
NEW,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",10,-,1,15,10
NEW,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),"Pitbull, Jennifer Lopez, Claudia Leitte",11,-,1,14,11
NEW,I Am The Best,2NE1,11,-,1,14,11
▼8,Blinding Lights,The Weeknd,13,5,3,11,5
▼8,Physical,Dua Lipa,14,6,3,10,6
NEW,Contigo,Danna Paola,14,-,1,10,14
▼10,Castigo,María Escarmiento,16,6,3,8,1
NEW,Supalonely,"BENEE, Gus Dapperton",17,-,1,7,17
NEW,MONOPOLY (with Victoria Monét),"Ariana Grande, Victoria Monét",17,-,1,7,17
▼9,Vicio,"Gregory Palencia, Aron Piper",17,8,3,7,6
▲8,Don't Start Now,Dua Lipa,20,28,5,6,10
NEW,Say So (feat. Nicki Minaj) - Original Version,"Doja Cat, Nicki Minaj",20,-,1,6,20
NEW,Roses - Imanbek Remix,"SAINt JHN, Imanbek",20,-,1,6,20
NEW,Here,Alessia Cara,23,-,1,5,23
▼14,lovely (with Khalid),"Billie Eilish, Khalid",23,9,3,5,3
RE,boyfriend (with Social House),"Ariana Grande, Social House",23,-,6,5,23
NEW,Savage,Megan Thee Stallion,23,-,1,5,23
RE,Into You,Ariana Grande,27,-,6,4,27
NEW,International Love (feat. Chris Brown),"Pitbull, Chris Brown",27,-,1,4,27
NEW,ya te vas,Natalia Lacunza,27,-,1,4,27
▼7,Ya No Quiero Ná,Hugo Cobo,30,23,4,3,1
NEW,Get Busy,Sean Paul,30,-,1,3,30
RE,One Last Time,Ariana Grande,30,-,2,3,30
NEW,Teenage Dream,Katy Perry,30,-,1,3,30
NEW,Starships,Nicki Minaj,30,-,1,3,30
▼20,Mala Fama,Danna Paola,30,10,4,3,4
RE,olvídate de mí,Natalia Lacunza,30,-,2,3,17
NEW,death bed (coffee for your head),"Powfu, beabadoobee",30,-,1,3,30
NEW,a otro lado,Natalia Lacunza,30,-,1,3,30
NEW,algo duele más,"Natalia Lacunza, BRONQUIO",30,-,1,3,30
NEW,dile,Natalia Lacunza,30,-,1,3,30
NEW,"Baila Morena (with Luny Tunes, Noriega) - Remix","Hector & Tito, Luny Tunes, Noriega",30,-,1,3,30
NEW,boys,Natalia Lacunza,30,-,1,3,30
NEW,EL BAÑO REMIX (feat. Bad Bunny & Natti Natasha),"Enrique Iglesias, Bad Bunny, Natti Natasha",30,-,1,3,30
▼17,Síndrome de Estocolmo,Sandra Groove,30,13,4,3,9
NEW,Mad Love,"Sean Paul, David Guetta, Becky G",45,-,1,2,45
RE,God is a woman,Ariana Grande,45,-,3,2,40
RE,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",45,-,2,2,44
▼22,I Follow Rivers,Eva B,45,23,5,2,1
▼17,Good as Hell,"Ariadna, NIA",45,28,5,2,7
NEW,Why Try,Ariana Grande,45,-,1,2,45
NEW,Be My Baby,"Ariana Grande, Cashmere Cat",45,-,1,2,45
▼4,Dance Monkey,Tones And I,45,41,6,2,1
NEW,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Pitbull, Ne-Yo, Afrojack, Nayer",45,-,1,2,45
NEW,California Gurls,"Katy Perry, Snoop Dogg",45,-,1,2,45
NEW,Dark Horse,"Katy Perry, Juicy J",45,-,1,2,45
▼24,ON (feat. Sia),"BTS, Sia",45,21,4,2,7
NEW,I Know You Want Me (Calle Ocho),Pitbull,45,-,1,2,45
NEW,The Box,Roddy Ricch,45,-,1,2,45
NEW,Toosie Slide,Drake,45,-,1,2,45
RE,7 rings,Ariana Grande,45,-,7,2,21
RE,"thank u, next",Ariana Grande,45,-,6,2,29
▼33,4 besos,"Lola Indigo, Rauw Alejandro, Lalo Ebratt",45,12,4,2,2
▼32,Can We Kiss Forever?,"Kina, Adriana Proenza",45,13,4,2,3
NEW,Almost Is Never Enough,"Ariana Grande, Nathan Sykes",45,-,1,2,45
RE,Yo Perreo Sola,Bad Bunny,45,-,2,2,45
NEW,Nice to Meet Ya (feat. Nicki Minaj),"Meghan Trainor, Nicki Minaj",45,-,1,2,45
RE,"break up with your girlfriend, i'm bored",Ariana Grande,45,-,5,2,29
NEW,Marvin Gaye (feat. Meghan Trainor),"Charlie Puth, Meghan Trainor",45,-,1,2,45
NEW,Duele El Corazon (feat. Wisin),"Enrique Iglesias, Wisin",45,-,1,2,45
NEW,Crying in the Club,Camila Cabello,45,-,1,2,45
NEW,Otra Noche,"María Escarmiento, El Mini",45,-,1,2,45
NEW,llueve,"Natalia Lacunza, mori",45,-,1,2,45
▼30,Miénteme Lento,Eli Rosex,45,15,4,2,5
,,,,,,,
2020-04-13 to 2020-04-26,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Boss Bitch,Doja Cat,1,-,1,177,1
'=,Ojos de Serpiente,DORA,2,2,2,53,2²
NEW,Sin Más,Samantha,3,-,1,48,3
▲9,Adore You,Harry Styles,4,13,2,31,4
▲8,Blinding Lights,The Weeknd,5,13,2,27,5
▲7,Physical,Dua Lipa,6,13,2,22,6
▼5,Castigo,María Escarmiento,6,1,2,22,1
▼2,Vicio,"Gregory Palencia, Aron Piper",8,6,2,20,6
▼6,lovely (with Khalid),"Billie Eilish, Khalid",9,3,2,18,3
▼6,Mala Fama,Danna Paola,10,4,3,17,4
▲24,Say So,Doja Cat,11,35,2,16,11
▼7,4 besos,"Lola Indigo, Rauw Alejandro, Lalo Ebratt",12,5,3,14,2
▼7,Can We Kiss Forever?,"Kina, Adriana Proenza",13,6,3,13,3
▼4,Síndrome de Estocolmo,Sandra Groove,13,9,3,13,9
▼5,Kings & Queens,Ava Max,15,10,3,12,4
▲3,Call Me Maybe,"Flavio, Samantha",15,18,4,12,13
▼4,Genius,Hugo Cobo,15,11,3,12,7
▼3,Al Santo Equivocado,Ariadna,15,12,3,12,9
NEW,Boys Ain't Shit (Estos Chicos No Lo Son Remix) (feat. Becky G),"SAYGRACE, Becky G",15,-,1,12,15
▼7,Miénteme Lento,Eli Rosex,15,8,3,12,5
▼8,ON (feat. Sia),"BTS, Sia",21,13,3,11,7
▼3,"Genius (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD",21,18,3,11,5
▼5,Ya No Quiero Ná,Hugo Cobo,23,18,3,10,1
▼5,I Follow Rivers,Eva B,23,18,4,10,1
▼2,Díselo a la Vida (Versión Gala),Operación Triunfo 2020,25,23,4,9,12
NEW,Die Like a Rockstar,Gio Bermejo,26,-,1,8,26
▼4,Maniac,"Eva B, Samantha",27,23,4,7,2
▼5,Podría Ser Peor,"Bruno Alves, Anne Lukin",28,23,4,6,7
▼1,Good as Hell,"Ariadna, NIA",28,27,4,6,7
▼1,Tusa,"KAROL G, Nicki Minaj",28,27,5,6,12
▼5,Don't Start Now,Dua Lipa,28,23,4,6,10
▼1,Por Ti,Marta Sango,28,27,5,6,4
▼1,Banana,"Anitta, Becky G",28,27,4,6,10
▼1,Live It Up - Official Song 2018 FIFA World Cup Russia,"Nicky Jam, Will Smith, Era Istrefi",28,27,4,6,4
▼8,+,"Aitana, Cali Y El Dandee",35,27,5,5,6
▲3,Calma,Flavio,35,38,2,5,35
▼8,Moonlight,"Cruz Cafuné, Alba Reche",35,27,4,5,3
NEW,That's Life,Flavio,38,-,1,4,38
NEW,Another Love,"Flavio, Anne Lukin",38,-,1,4,38
NEW,If U Seek Amy - Remastered,Britney Spears,38,-,1,4,38
RE,No Broken Hearts (feat. Nicki Minaj),"Bebe Rexha, Nicki Minaj",41,-,6,3,3
▲6,Woman Like Me (feat. Nicki Minaj),"Little Mix, Nicki Minaj",41,47,6,3,7
▼6,Dance Monkey,Tones And I,41,35,5,3,1
▼3,So Am I,Ava Max,41,38,5,3,9
RE,Maldición,"Lola Indigo, Lalo Ebratt",41,-,4,3,24
RE,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",41,-,4,3,19
▼3,Lola,"Iggy Azalea, Alice Chater",41,38,6,3,2
▼7,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",41,34,5,3,9
▲6,You Don't Own Me (Feat. Ariana Grande),"Kristin Chenoweth, Ariana Grande",41,47,7,3,6
▲6,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",41,47,7,3,1
▲3,Bad To You (with Normani & Nicki Minaj),"Ariana Grande, Normani, Nicki Minaj",41,44,6,3,1
RE,Shameless,Camila Cabello,41,-,5,3,5
RE,Liar,Camila Cabello,41,-,6,3,3
RE,Chicken Noodle Soup (feat. Becky G),"j-hope, Becky G",41,-,5,3,4
▼3,Vete Pa La,Lele Pons,41,38,5,3,6
▲6,Don't Worry Bout Me,Zara Larsson,41,47,6,3,4
RE,No Lo Trates,"Pitbull, Daddy Yankee, Natti Natasha",41,-,5,3,2
RE,Tonta,"R.K.M & Ken-Y, Natti Natasha",41,-,5,3,8
RE,God Is A Dancer (with Mabel),"Tiësto, Mabel",41,-,6,3,5
▼3,Cachete Al Suelo,La Divaza,41,38,5,3,5
,,,,,,,
2020-03-30 to 2020-04-12,,,,,,,
